"","DEP","typequ","nb_2012","nb_2017","2012","2017"
"54","08","D106",4,5,1.42395881911095e-05,1.77994852388869e-05
"55","08","D107",2,2,3.16392177650092e-05,3.16392177650092e-05
"56","08","D109",13,10,4.62786616211059e-05,3.55989704777738e-05
"57","09","D101",4,3,2.61978989285059e-05,1.96484241963794e-05
"58","09","D102",8,6,5.23957978570119e-05,3.92968483927589e-05
"59","09","D103",0,1,0,6.54947473212648e-06
"60","09","D104",4,2,2.61978989285059e-05,1.3098949464253e-05
"61","09","D106",3,3,1.96484241963794e-05,1.96484241963794e-05
"62","09","D107",1,2,2.71587718127029e-05,5.43175436254058e-05
"63","09","D109",11,7,7.20442220533913e-05,4.58463231248854e-05
"64","10","D101",11,11,3.58795881023286e-05,3.58795881023286e-05
"65","10","D102",6,6,1.9570684419452e-05,1.9570684419452e-05
"66","10","D103",5,4,1.63089036828766e-05,1.30471229463013e-05
"67","10","D104",17,18,5.54502725217805e-05,5.87120532583559e-05
"68","10","D106",3,3,9.78534220972598e-06,9.78534220972598e-06
"69","10","D107",3,3,4.26619853853445e-05,4.26619853853445e-05
"70","10","D109",0,0,0,0
"71","11","D101",9,8,2.46658462988898e-05,2.19251967101242e-05
"72","11","D102",13,13,3.56284446539519e-05,3.56284446539519e-05
"73","11","D103",4,5,1.09625983550621e-05,1.37032479438276e-05
"74","11","D104",17,18,4.6591043009014e-05,4.93316925977795e-05
"75","11","D106",6,7,1.64438975325932e-05,1.91845471213587e-05
"76","11","D107",4,3,4.67926985169995e-05,3.50945238877496e-05
"77","11","D109",17,21,4.6591043009014e-05,5.75536413640761e-05
"78","12","D101",10,8,3.60048966659466e-05,2.88039173327573e-05
"79","12","D102",13,13,4.68063656657305e-05,4.68063656657305e-05
"80","12","D103",8,8,2.88039173327573e-05,2.88039173327573e-05
"81","12","D104",16,16,5.76078346655145e-05,5.76078346655145e-05
"82","12","D106",5,5,1.80024483329733e-05,1.80024483329733e-05
"83","12","D107",5,5,8.01888728739965e-05,8.01888728739965e-05
"84","12","D109",13,16,4.68063656657305e-05,5.76078346655145e-05
"85","13","D101",49,45,2.45838678341259e-05,2.25770214803197e-05
"86","13","D102",56,55,2.80958489532867e-05,2.75941373648352e-05
"87","13","D103",10,11,5.01711588451549e-06,5.51882747296703e-06
"88","13","D104",51,67,2.5587291011029e-05,3.36146764262537e-05
"89","13","D106",20,22,1.0034231769031e-05,1.10376549459341e-05
"90","13","D107",15,14,2.99056519676136e-05,2.79119418364393e-05
"91","13","D109",85,103,4.26454850183816e-05,5.16762936105095e-05
"92","14","D101",17,13,2.46396451891093e-05,1.88420816152012e-05
"93","14","D102",19,21,2.75384269760633e-05,3.04372087630173e-05
"94","14","D103",7,6,1.01457362543391e-05,8.6963453608621e-06
"95","14","D104",28,28,4.05829450173565e-05,4.05829450173565e-05
"96","14","D106",12,9,1.73926907217242e-05,1.30445180412931e-05
"97","14","D107",8,4,4.66973701873579e-05,2.3348685093679e-05
"98","14","D109",84,83,0.000121748835052069,0.000120299444158592
"99","15","D101",7,7,4.76077124494168e-05,4.76077124494168e-05
"100","15","D102",9,8,6.1209916006393e-05,5.44088142279049e-05
"101","15","D103",4,5,2.72044071139525e-05,3.40055088924406e-05
"102","15","D104",4,4,2.72044071139525e-05,2.72044071139525e-05
"103","15","D106",3,4,2.04033053354643e-05,2.72044071139525e-05
"104","15","D107",2,2,6.14549619545449e-05,6.14549619545449e-05
"105","15","D109",2,2,1.36022035569762e-05,1.36022035569762e-05
"106","16","D101",10,10,2.82899836483895e-05,2.82899836483895e-05
"107","16","D102",11,9,3.11189820132284e-05,2.54609852835505e-05
"108","16","D103",6,6,1.69739901890337e-05,1.69739901890337e-05
"109","16","D104",13,12,3.67769787429063e-05,3.39479803780673e-05
"110","16","D106",5,5,1.41449918241947e-05,1.41449918241947e-05
"111","16","D107",3,4,3.66795849363198e-05,4.89061132484264e-05
"112","16","D109",18,18,5.0921970567101e-05,5.0921970567101e-05
"113","17","D101",16,14,2.52598209394443e-05,2.21023433220138e-05
"114","17","D102",22,18,3.47322537917359e-05,2.84172985568749e-05
"115","17","D103",4,4,6.31495523486108e-06,6.31495523486108e-06
"116","17","D104",22,20,3.47322537917359e-05,3.15747761743054e-05
"117","17","D106",11,9,1.7366126895868e-05,1.42086492784374e-05
"118","17","D107",6,5,4.03245992866072e-05,3.36038327388393e-05
"119","17","D109",40,32,6.31495523486108e-05,5.05196418788886e-05
"120","18","D101",5,5,1.60436386972565e-05,1.60436386972565e-05
"121","18","D102",7,7,2.24610941761592e-05,2.24610941761592e-05
"122","18","D103",6,6,1.92523664367078e-05,1.92523664367078e-05
"123","18","D104",5,5,1.60436386972565e-05,1.60436386972565e-05
"124","18","D106",3,3,9.62618321835392e-06,9.62618321835392e-06
"125","18","D107",4,4,5.42447327716488e-05,5.42447327716488e-05
"126","18","D109",0,0,0,0
"127","19","D101",8,6,3.32252129528493e-05,2.49189097146369e-05
"128","19","D102",6,8,2.49189097146369e-05,3.32252129528493e-05
"129","19","D103",6,6,2.49189097146369e-05,2.49189097146369e-05
"130","19","D104",9,8,3.73783645719554e-05,3.32252129528493e-05
"131","19","D106",4,2,1.66126064764246e-05,8.30630323821232e-06
"132","19","D107",4,4,6.96156986728641e-05,6.96156986728641e-05
"133","19","D109",13,9,5.39909710483801e-05,3.73783645719554e-05
"134","21","D101",19,16,3.58652297923026e-05,3.02022987724653e-05
"135","21","D102",15,16,2.83146550991862e-05,3.02022987724653e-05
"136","21","D103",6,6,1.13258620396745e-05,1.13258620396745e-05
"137","21","D104",27,24,5.09663791785352e-05,4.5303448158698e-05
"138","21","D106",7,6,1.32135057129536e-05,1.13258620396745e-05
"139","21","D107",4,4,2.94515020668076e-05,2.94515020668076e-05
"140","21","D109",0,0,0,0
"141","22","D101",14,11,2.34472478792802e-05,1.84228376194344e-05
"142","22","D102",15,16,2.51220512992288e-05,2.67968547191773e-05
"143","22","D103",6,7,1.00488205196915e-05,1.17236239396401e-05
"144","22","D104",32,44,5.35937094383547e-05,7.36913504777377e-05
"145","22","D106",6,5,1.00488205196915e-05,8.37401709974292e-06
"146","22","D107",5,5,3.82542317606307e-05,3.82542317606307e-05
"147","22","D109",14,1,2.34472478792802e-05,1.67480341994858e-06
"148","23","D101",6,5,4.96392878416838e-05,4.13660732014031e-05
"149","23","D102",7,7,5.79125024819644e-05,5.79125024819644e-05
"150","23","D103",5,5,4.13660732014031e-05,4.13660732014031e-05
"151","23","D104",17,17,0.000140644648884771,0.000140644648884771
"152","23","D106",2,1,1.65464292805613e-05,8.27321464028063e-06
"153","23","D107",1,1,3.83379436844477e-05,3.83379436844477e-05
"154","23","D109",4,4,3.30928585611225e-05,3.30928585611225e-05
"155","24","D101",13,13,3.11818646275326e-05,3.11818646275326e-05
"156","24","D102",17,17,4.07762845129273e-05,4.07762845129273e-05
"157","24","D103",4,5,9.59441988539465e-06,1.19930248567433e-05
"158","24","D104",10,10,2.39860497134866e-05,2.39860497134866e-05
"159","24","D106",4,4,9.59441988539465e-06,9.59441988539465e-06
"160","24","D107",3,3,3.18811296353718e-05,3.18811296353718e-05
"161","24","D109",5,5,1.19930248567433e-05,1.19930248567433e-05
"162","25","D101",12,10,2.25005625140629e-05,1.8750468761719e-05
"163","25","D102",14,12,2.62506562664067e-05,2.25005625140629e-05
"164","25","D103",7,7,1.31253281332033e-05,1.31253281332033e-05
"165","25","D104",20,21,3.75009375234381e-05,3.937598439961e-05
"166","25","D106",5,3,9.37523438085952e-06,5.62514062851571e-06
"167","25","D107",5,4,3.92140473062563e-05,3.1371237845005e-05
"168","25","D109",8,5,1.50003750093752e-05,9.37523438085952e-06
"169","26","D101",13,12,2.62779152314882e-05,2.42565371367584e-05
"170","26","D102",13,13,2.62779152314882e-05,2.62779152314882e-05
"171","26","D103",4,4,8.08551237891945e-06,8.08551237891945e-06
"172","26","D104",12,11,2.42565371367584e-05,2.22351590420285e-05
"173","26","D106",6,6,1.21282685683792e-05,1.21282685683792e-05
"174","26","D107",3,4,2.54023646800957e-05,3.38698195734609e-05
"175","26","D109",23,25,4.64916961787869e-05,5.05344523682466e-05
"176","27","D101",15,8,2.52082622600383e-05,1.34444065386871e-05
"177","27","D102",19,15,3.19304655293819e-05,2.52082622600383e-05
"178","27","D103",5,5,8.40275408667945e-06,8.40275408667945e-06
"179","27","D104",20,30,3.36110163467178e-05,5.04165245200767e-05
"180","27","D106",8,8,1.34444065386871e-05,1.34444065386871e-05
"181","27","D107",4,4,2.75372419390471e-05,2.75372419390471e-05
"182","27","D109",44,33,7.39442359627792e-05,5.54581769720844e-05
"183","28","D101",10,9,2.30964484591204e-05,2.07868036132084e-05
"184","28","D102",13,14,3.00253829968566e-05,3.23350278427686e-05
"185","28","D103",4,4,9.23857938364818e-06,9.23857938364818e-06
"186","28","D104",9,8,2.07868036132084e-05,1.84771587672964e-05
"187","28","D106",5,5,1.15482242295602e-05,1.15482242295602e-05
"188","28","D107",3,3,2.71969444295041e-05,2.71969444295041e-05
"189","28","D109",7,7,1.61675139213843e-05,1.61675139213843e-05
"190","29","D101",23,23,2.54447014728057e-05,2.54447014728057e-05
"191","29","D102",30,29,3.31887410514857e-05,3.20824496831028e-05
"192","29","D103",12,11,1.32754964205943e-05,1.21692050522114e-05
"193","29","D104",71,66,7.85466871551828e-05,7.30152303132685e-05
"194","29","D106",12,13,1.32754964205943e-05,1.43817877889771e-05
"195","29","D107",8,6,3.64014167813503e-05,2.73010625860127e-05
"196","29","D109",24,11,2.65509928411886e-05,1.21692050522114e-05
"197","2A","D101",6,4,4.02053151426618e-05,2.68035434284412e-05
"198","2A","D102",9,6,6.03079727139928e-05,4.02053151426618e-05
"199","2A","D103",3,3,2.01026575713309e-05,2.01026575713309e-05
"200","2A","D104",1,5,6.70088585711031e-06,3.35044292855515e-05
"201","2A","D106",5,1,3.35044292855515e-05,6.70088585711031e-06
"202","2A","D107",2,2,4.97400968550424e-05,4.97400968550424e-05
"203","2A","D109",9,9,6.03079727139928e-05,6.03079727139928e-05
"204","2B","D101",7,5,4.09418975984653e-05,2.92442125703323e-05
"205","2B","D102",3,4,1.75465275421994e-05,2.33953700562659e-05
"206","2B","D103",3,3,1.75465275421994e-05,1.75465275421994e-05
"207","2B","D104",5,5,2.92442125703323e-05,2.92442125703323e-05
"208","2B","D106",3,5,1.75465275421994e-05,2.92442125703323e-05
"209","2B","D107",2,2,4.82595168744689e-05,4.82595168744689e-05
"210","2B","D109",9,5,5.26395826265982e-05,2.92442125703323e-05
"211","30","D101",20,14,2.72776496485957e-05,1.9094354754017e-05
"212","30","D102",22,20,3.00054146134552e-05,2.72776496485957e-05
"213","30","D103",10,6,1.36388248242978e-05,8.1832948945787e-06
"214","30","D104",17,31,2.31860022013063e-05,4.22803569553233e-05
"215","30","D106",6,5,8.1832948945787e-06,6.81941241214892e-06
